City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Kalmunai,LK,2022-01-17 02:10:59,7.4167,81.8167,77.95,82,100,7.54
138,Gorontalo,ID,2022-01-17 02:10:59,0.5412,123.0595,85.12,67,84,4.68
139,Alofi,NU,2022-01-17 02:11:00,-19.0595,-169.9187,85.89,58,40,12.66
140,Paamiut,GL,2022-01-17 02:12:00,61.994,-49.6678,28.27,85,94,27.78
141,Rawlins,US,2022-01-17 02:12:00,41.7911,-107.2387,35.82,34,0,5.75
142,Montepuez,MZ,2022-01-17 02:12:00,-13.1256,38.9997,68.83,97,100,1.74
143,Mizdah,LY,2022-01-17 02:12:01,31.4451,12.9801,48.31,83,100,9.4
144,Ostrovnoy,RU,2022-01-17 02:12:01,68.0531,39.5131,27.95,88,100,18.07
145,Broome,US,2022-01-17 02:12:01,42.2506,-75.833,25.86,86,100,1.99
146,Ambulu,ID,2022-01-17 02:12:01,-8.345,113.6058,79.88,80,100,2.46
147,Pangai,TO,2022-01-17 02:12:02,-19.8,-174.35,82.51,78,12,11.86
148,North Platte,US,2022-01-17 02:12:02,41.1239,-100.7654,33.26,72,0,1.01
149,Dawlatabad,AF,2022-01-17 02:12:03,36.4141,64.9053,50.14,93,100,4.76
150,San Quintin,MX,2022-01-17 02:12:03,30.4833,-115.95,61.83,76,100,6.22
151,Naze,JP,2022-01-17 02:12:03,28.3667,129.4833,52.92,81,100,18.28
152,New Norfolk,AU,2022-01-17 02:12:03,-42.7826,147.0587,80.71,35,9,5.99
153,Batagay-Alyta,RU,2022-01-17 02:12:04,67.8006,130.4114,-30.68,86,43,3.58
154,Fairbanks,US,2022-01-17 02:11:14,64.8378,-147.7164,1.36,83,100,5.75
155,San Patricio,US,2022-01-17 02:12:04,28.017,-97.5169,55.83,22,0,0.85
156,San Policarpo,PH,2022-01-17 02:12:04,12.1791,125.5072,79.38,74,69,17.49
157,Srednekolymsk,RU,2022-01-17 02:12:05,67.45,153.6833,-40.52,98,64,6.22
158,Stornoway,GB,2022-01-17 02:12:05,58.2093,-6.3865,46.36,88,100,13.0
159,Youkounkoun,GN,2022-01-17 02:12:05,12.5333,-13.1333,76.51,31,78,2.93
160,Lompoc,US,2022-01-17 02:10:11,34.6391,-120.4579,64.13,72,40,3.44
161,Skjervoy,NO,2022-01-17 02:12:06,70.0311,20.9714,27.61,78,100,27.27
162,Srandakan,ID,2022-01-17 02:12:06,-7.9386,110.2506,84.06,73,60,5.3
163,Zhangjiakou,CN,2022-01-17 02:12:06,40.81,114.8794,16.68,41,0,5.21
164,Hithadhoo,MV,2022-01-17 02:12:07,-0.6,73.0833,81.41,71,95,5.44
165,Gornopravdinsk,RU,2022-01-17 02:12:07,60.05,69.9,24.49,96,100,8.72
166,Rudnichnyy,RU,2022-01-17 02:12:07,59.617,52.4703,-5.87,100,85,5.17
167,Raudeberg,NO,2022-01-17 02:12:08,61.9875,5.1352,35.2,80,100,4.0
168,Bastia,FR,2022-01-17 02:11:05,42.6667,9.3333,48.29,84,20,1.99
169,Richards Bay,ZA,2022-01-17 02:12:08,-28.783,32.0377,72.7,90,100,8.28
170,Little Current,CA,2022-01-17 02:12:08,45.9793,-81.9248,21.29,83,100,6.33
171,Airai,TL,2022-01-17 02:12:09,-8.9266,125.4092,70.56,70,100,2.95
172,Tessalit,ML,2022-01-17 02:12:09,20.1986,1.0114,56.64,22,51,10.74
173,Bijie,CN,2022-01-17 02:12:09,27.3125,105.2942,39.02,69,89,3.69
174,Qaanaaq,GL,2022-01-17 02:12:10,77.484,-69.3632,-6.39,55,0,6.71
175,Mareeba,AU,2022-01-17 02:12:10,-17.0,145.4333,99.32,63,10,1.1
176,Sangmelima,CM,2022-01-17 02:12:10,2.9333,11.9833,66.15,100,86,2.26
177,Robore,BO,2022-01-17 02:12:11,-18.3333,-59.75,81.05,60,100,6.24
178,Rocha,UY,2022-01-17 02:08:33,-34.4833,-54.3333,72.75,94,56,5.01
179,Dicabisagan,PH,2022-01-17 02:12:11,17.0818,122.4157,76.89,63,73,5.44
180,Xuzhou,CN,2022-01-17 02:12:11,34.1805,117.1571,40.42,61,2,4.9
181,Lukow,PL,2022-01-17 02:12:12,51.929,22.3796,35.67,97,98,20.67
182,Axim,GH,2022-01-17 02:12:12,4.8699,-2.2405,78.57,83,39,4.59
183,Padang,ID,2022-01-17 02:12:17,-0.9492,100.3543,83.16,72,27,0.72
184,Leninskoye,KZ,2022-01-17 02:13:12,41.7589,69.3864,42.73,92,100,3.22
185,Murray Bridge,AU,2022-01-17 02:13:13,-35.1167,139.2667,80.69,49,100,12.19
186,Pisco,PE,2022-01-17 02:13:13,-13.7,-76.2167,70.02,88,20,16.11
187,Mount Isa,AU,2022-01-17 02:13:13,-20.7333,139.5,98.37,28,100,9.22
188,Ponta Do Sol,PT,2022-01-17 02:13:14,32.6667,-17.1,65.03,61,100,17.4
189,Novoagansk,RU,2022-01-17 02:13:14,61.9449,76.6625,21.97,90,100,17.52
190,Itarema,BR,2022-01-17 02:13:14,-2.9248,-39.9167,78.08,84,18,9.42
191,Mineros,BO,2022-01-17 02:13:14,-17.1167,-63.2333,81.99,66,6,8.7
192,Cayenne,GF,2022-01-17 02:13:15,4.9333,-52.3333,80.1,84,40,3.0
193,Alugan,PH,2022-01-17 02:13:15,12.2188,125.4808,79.07,75,70,16.53
194,Esperance,AU,2022-01-17 02:13:15,-33.8667,121.9,69.15,54,30,16.06
195,Kargasok,RU,2022-01-17 02:13:16,59.0556,80.8572,31.32,77,100,19.89
196,Baruun-Urt,MN,2022-01-17 02:13:16,46.6806,113.2792,-2.31,80,82,3.69
197,Wexford,IE,2022-01-17 02:13:16,52.3342,-6.4575,37.58,84,0,4.12
198,Lawton,US,2022-01-17 02:13:17,34.6087,-98.3903,43.03,41,0,0.0
199,Gazli,UZ,2022-01-17 02:13:17,40.1333,63.45,37.42,87,32,8.88
200,Abancay,PE,2022-01-17 02:13:17,-13.6339,-72.8814,56.95,90,93,3.06
201,East London,ZA,2022-01-17 02:13:18,-33.0153,27.9116,73.71,88,69,4.16
202,Zacualpan,MX,2022-01-17 02:13:18,21.25,-105.1667,74.71,83,96,3.13
203,Touros,BR,2022-01-17 02:13:18,-5.1989,-35.4608,77.9,76,55,11.99
204,Voiron,FR,2022-01-17 02:13:19,45.3639,5.5921,29.66,83,7,5.99
205,Bambanglipuro,ID,2022-01-17 02:13:19,-7.95,110.2833,83.84,74,58,5.53
206,Robertsport,LR,2022-01-17 02:13:19,6.7533,-11.3686,80.49,80,94,3.11
207,Tautira,PF,2022-01-17 02:13:20,-17.7333,-149.15,84.22,79,87,20.29
208,Impfondo,CG,2022-01-17 02:13:20,1.6381,18.0667,70.48,90,90,1.81
209,Banda Aceh,ID,2022-01-17 02:13:20,5.5577,95.3222,80.33,78,68,10.54
210,Longyearbyen,SJ,2022-01-17 02:13:20,78.2186,15.6401,6.64,78,75,14.97
211,Lata,PT,2022-01-17 02:13:21,40.1629,-8.3327,50.81,90,32,3.65
212,Dingle,PH,2022-01-17 02:13:21,10.9995,122.6711,78.57,77,88,17.09
213,Baramula,IN,2022-01-17 02:13:21,34.2,74.35,33.98,79,100,1.01
214,Letlhakane,BW,2022-01-17 02:13:22,-21.4167,25.5833,74.08,62,100,7.16
215,Luena,AO,2022-01-17 02:13:22,-11.7833,19.9167,61.65,89,97,4.88
216,Anage,BR,2022-01-17 02:13:22,-14.6122,-41.1356,69.21,80,0,1.77
217,Funtua,NG,2022-01-17 02:13:22,11.5233,7.3081,58.53,27,11,14.05
218,Berezovyy,RU,2022-01-17 02:13:23,51.6667,135.7,10.44,89,100,5.35
219,Tigil,RU,2022-01-17 02:13:23,57.8,158.6667,6.15,85,9,3.85
220,Comodoro Rivadavia,AR,2022-01-17 02:13:23,-45.8667,-67.5,53.46,47,0,13.8
221,Bundaberg,AU,2022-01-17 02:13:24,-24.85,152.35,86.04,58,87,9.64
222,Slavyanka,RU,2022-01-17 02:13:24,42.8633,131.3847,13.01,49,84,8.3
223,Maragogi,BR,2022-01-17 02:13:24,-9.0122,-35.2225,78.3,78,71,7.4
224,Palmer,US,2022-01-17 02:14:25,42.1584,-72.3287,26.47,59,100,1.99
225,Ustka,PL,2022-01-17 02:14:25,54.5805,16.8619,40.6,81,100,37.87
226,Port Hedland,AU,2022-01-17 02:14:25,-20.3167,118.5667,86.05,66,100,12.66
227,Port Elizabeth,ZA,2022-01-17 02:12:13,-33.918,25.5701,70.11,85,100,9.66
228,Lulea,SE,2022-01-17 02:14:25,65.5842,22.1547,28.47,64,20,24.16
229,Kailua,US,2022-01-17 02:14:26,21.4022,-157.7394,80.58,68,38,1.99
230,Oum Hadjer,TD,2022-01-17 02:14:26,13.2954,19.6966,63.54,27,5,12.46
231,Humaita,BR,2022-01-17 02:14:26,-7.5061,-63.0208,73.9,96,89,1.68
232,Pirgos,GR,2022-01-17 02:14:27,35.1167,25.7178,49.68,53,4,11.27
233,Ribeira Grande,PT,2022-01-17 02:14:27,38.5167,-28.7,56.77,58,70,16.67
234,Bonavista,CA,2022-01-17 02:14:27,48.6499,-53.1147,23.11,64,99,22.46
235,Bathsheba,BB,2022-01-17 02:14:27,13.2167,-59.5167,77.61,69,20,19.57
236,Noyabrsk,RU,2022-01-17 02:14:28,63.1994,75.4507,17.87,94,100,22.21
237,Saldanha,ZA,2022-01-17 02:14:28,-33.0117,17.9442,63.72,92,3,6.33
238,San Cristobal,VE,2022-01-17 02:14:28,7.7669,-72.225,71.78,73,100,0.4
239,Zhuzhou,CN,2022-01-17 02:14:29,27.8333,113.15,45.59,96,100,4.34
240,Surgut,RU,2022-01-17 02:14:29,61.25,73.4167,23.09,85,75,13.0
241,Nishihara,JP,2022-01-17 02:14:29,26.1842,127.7558,60.46,94,75,17.27
242,Jibuti,DJ,2022-01-17 02:14:29,11.5,42.5,71.02,75,98,9.42
243,Sao Filipe,CV,2022-01-17 02:14:30,14.8961,-24.4956,71.42,70,0,4.92
244,Uncia,BO,2022-01-17 02:14:30,-18.467,-66.5685,47.79,79,100,3.89
245,Grindavik,IS,2022-01-17 02:14:30,63.8424,-22.4338,45.07,93,100,27.63
246,Krasnoselkup,RU,2022-01-17 02:14:31,65.7,82.4667,11.64,89,100,21.83
247,Jacmel,HT,2022-01-17 02:14:31,18.2342,-72.5347,78.64,83,33,3.94
248,Opuwo,NA,2022-01-17 02:14:31,-18.0607,13.84,60.75,62,28,3.62
249,Tura,IN,2022-01-17 02:14:31,25.5198,90.2201,59.05,57,0,3.02
250,Chapais,CA,2022-01-17 02:14:32,49.7834,-74.8492,2.98,79,100,10.33
251,Kerrville,US,2022-01-17 02:13:40,30.0474,-99.1403,53.46,29,0,0.0
252,Hualmay,PE,2022-01-17 02:14:32,-11.0964,-77.6139,72.18,81,97,7.38
253,Manicore,BR,2022-01-17 02:14:32,-5.8092,-61.3003,74.86,95,98,1.07
254,Ibra,OM,2022-01-17 02:14:33,22.6906,58.5334,61.25,88,21,1.41
255,Codrington,AU,2022-01-17 02:14:33,-38.2667,141.9667,66.11,60,96,15.32
256,Yanam,IN,2022-01-17 02:14:33,16.7333,82.2167,73.8,78,98,6.33
257,San Carlos Del Zulia,VE,2022-01-17 02:14:34,9.0,-71.9135,76.98,69,45,5.64
258,Gizo,SB,2022-01-17 02:14:34,-8.103,156.8419,83.39,75,100,7.85
259,Ankpa,NG,2022-01-17 02:14:34,7.3706,7.6253,75.36,62,91,4.54
260,Puerto Escondido,MX,2022-01-17 02:14:34,15.85,-97.0667,77.83,73,20,5.75
261,Port Lincoln,AU,2022-01-17 02:14:35,-34.7333,135.8667,67.69,62,96,13.24
262,Llodio,ES,2022-01-17 02:14:35,43.1432,-2.962,41.74,83,20,3.44
263,Istanbul,TR,2022-01-17 02:13:27,41.0351,28.9833,40.42,65,20,11.5
264,Havre-Saint-Pierre,CA,2022-01-17 02:14:35,50.2334,-63.5986,18.19,66,0,13.8
265,Prieska,ZA,2022-01-17 02:14:36,-29.6641,22.7474,77.58,57,3,11.01
266,Muzhi,RU,2022-01-17 02:14:36,65.3667,64.6667,-16.11,100,93,6.8
267,Ternate,ID,2022-01-17 02:14:36,0.8,127.4,80.4,76,100,3.27
268,Porbandar,IN,2022-01-17 02:14:37,21.6422,69.6093,65.14,57,0,11.27
269,Aswan,EG,2022-01-17 02:14:37,24.0934,32.907,47.66,46,0,6.69
270,Sechura,PE,2022-01-17 02:15:37,-5.5569,-80.8222,72.54,79,47,12.1
271,Camacha,PT,2022-01-17 02:15:37,33.0833,-16.3333,62.02,68,0,20.71
272,Oparino,RU,2022-01-17 02:15:38,59.8518,48.2783,14.83,94,100,9.42
273,Praia Da Vitoria,PT,2022-01-17 02:15:38,38.7333,-27.0667,53.85,76,40,12.91
274,Hangu,CN,2022-01-17 02:15:38,39.2489,117.7892,33.84,31,0,6.78
275,Luderitz,NA,2022-01-17 02:15:39,-26.6481,15.1594,67.75,84,15,11.18
276,Arkhangelsk,RU,2022-01-17 02:15:39,64.5401,40.5433,28.51,92,100,11.18
277,Souillac,MU,2022-01-17 02:15:39,-20.5167,57.5167,78.37,94,20,4.61
278,Sola,VU,2022-01-17 02:15:40,-13.8833,167.55,82.44,75,58,7.14
279,Kloulklubed,PW,2022-01-17 02:15:40,7.0419,134.2556,82.9,78,100,17.34
280,Doka,SD,2022-01-17 02:15:40,13.5167,35.7667,70.05,21,53,12.03
281,Waipawa,NZ,2022-01-17 02:15:40,-41.4122,175.5153,67.3,61,24,9.53
282,Saint-Philippe,RE,2022-01-17 02:15:41,-21.3585,55.7679,78.39,83,87,3.96
283,Fort Nelson,CA,2022-01-17 02:15:15,58.8053,-122.7002,0.99,85,100,8.05
284,Shelburne,CA,2022-01-17 02:15:41,44.0787,-80.2041,21.76,79,99,3.0
285,Kavaratti,IN,2022-01-17 02:15:42,10.5669,72.642,79.2,71,94,5.84
286,Chuy,UY,2022-01-17 02:15:42,-33.6971,-53.4616,72.82,93,48,7.47
287,Pangkalanbuun,ID,2022-01-17 02:15:42,-2.6833,111.6167,80.78,81,100,1.23
288,Maniitsoq,GL,2022-01-17 02:15:43,65.4167,-52.9,13.24,88,100,13.06
289,Spartanburg,US,2022-01-17 02:15:14,34.9496,-81.9321,29.75,100,100,0.0
290,Tateyama,JP,2022-01-17 02:15:43,34.9833,139.8667,53.87,53,83,7.18
291,Bonthe,SL,2022-01-17 02:15:43,7.5264,-12.505,78.55,84,19,2.37
292,Benalla,AU,2022-01-17 02:15:44,-36.55,145.9833,75.31,68,100,5.17
293,Itaituba,BR,2022-01-17 02:12:25,-4.2761,-55.9836,72.95,98,59,2.21
294,Karratha,AU,2022-01-17 02:15:44,-20.7377,116.8463,88.83,44,0,17.29
